VAR,MIN,MAX,VARTYPE,FILETYPE,DESCRIPTION
NMINSO,0.0022,0.035,R,CF,Min. concentration of N in storage organs (kg/kg).
NMINVE,0.0022,0.018,R,CF,Min. concentration of N in vegetative organs (kg/kg).
NOTINF,0,1,R,SD,Maximum fraction of rain not-infiltrating into the soil.
NREC,0,1,R,SD,Apparent recovery of N fertilizer.
PBASE,0,100,R,SD,Basic supply of phosphorus by the unfertilized soil for one growing season of 120 days (kg/ha).
PERDL,0,0.1,R,CF,Max. relative death rate of leaves due to water stress (-; kg/kg.d).
PMAXSO,0.0016,0.01,R,CF,Max. concentration of P in storage organs (kg/kg).
PMAXVE,0.0016,0.01,R,CF,Max. concentration of P in vegetative organs (kg/kg).
PMINSO,0.0007,0.04,R,CF,Min. concentration of P in storage organs (kg/kg).
PMINVE,0.0003,0.002,R,CF,Min. concentration of P in vegetative organs (kg/kg).
PRDEL,1,30,I,TD,Number of time steps between output lines (days).
PREC,0,1,R,SD,Apparent recovery of P fertilizer
Q10,1.5,2,R,CF,Relative change in respiration rate per 10¡C  temperature change.
RAFILE,,,C,TD,Filename of the rainfall station.
RDI,10,50,R,CF,Initial rooting depth (cm).
RDMCR,50,400,R,CF,Max. rooting depth of mature crop (plant characteristic) (cm)
RDMSOL,10,150,R,SD,Max. rooting depth allowed by soil (cm).
RDRRTB,0,0.02,SD,CF,Relative death rate of roots as a function of development stage (-; kg/kg.d).
RDRSTB,0,0.04,SD,CF,Relative death rate of stems as a function of development stage (-; kg/kg.d).
RFSETB,0.25,1,SD,CF,Reduction factor for senescence as function of development stage.
RGRLAI,0.007,0.5,R,CF,Max. relative increase in LAI (ha/ha.d).
RML,0.027,0.03,R,CF,Relative maintenance respiration rate leaves (kg(CH2O)/kg.d).
RMO,0.003,0.017,R,CF,Relative maintenance respiration rate storage organs (kg(CH2O)/kg.d).
RMR,0.01,0.015,R,CF,Relative maintenance respiration rate roots (kg(CH2O)/kg.d).
RMS,0.015,0.02,R,CF,Relative maintenance respiration rate stems (kg(CH2O/kg.d)).
RRI,0,3,R,CF,Max. daily increase in rooting depth (cm/d).
SLATB,0.0007,0.0042,SD,CF,Specific leaf area as a function of development stage (-; ha/kg).
SMFCF,0.05,0.74,R,SF,Soil moisture content at field capacity (cm_/cm_).
SMLIM,0.01,0.9,R,SD,Maximum moisture content in topsoil (cm).
SMTAB,0.01,0.9,SP,SF,Soil water retention; vol. moisture content. (second column) as function of pF (log(cm); cm_/cm_) (first column).
SMW,0.01,0.35,R,SF,Soil moisture content at wilting point (cm_/cm_).
SM0,0.3,0.9,R,SF,Soil moisture content of saturated soil (cm_/cm_).
SOFILE,,,C,SD,Filename of the soil type.
SOPE,0.1,100,R,SF,Maximum percolation rate root zone (cm/d)
SPA,0.0008,0.003,R,CF,Specific pod area (ha/kg).
SPADS,0.02,0.8,R,SF,1st topsoil seepage parameter deep seedbed (soil workability parameter)
SPAN,17,50,R,CF,Life span of leaves growing at 35¡C (days).
SPASS,0.05,0.9,R,SF,1st topsoil seepage parameter shallow seedbed (soil workability parameter)
SPODS,0.02,0.04,R,SF,2nd topsoil seepage parameter deep seedbed (soil workability parameter)
SPOSS,0.03,0.07,R,SF,2nd topsoil seepage parameter shallow seedbed (soil workability parameter)
SSATB,0.0003,0.0003,SD,CF,Specific stem area (ha/kg) as a function of development stage.
SSI,0,20,R,SD,Initial surface storage
SSMAX,0,20,R,SD,Maximum surface storage capacity (cm water)
TBASE,-10,10,R,CF,Lower threshold temperature for ageing of leaves (¡C).
TBASEM,-10,8,R,CF,Lower threshold temperature for emergence(¡C).
TDWI,0.5,300,R,CF,Initial total crop dry weight (kg/ha).
TEFFMX,18,32,R,CF,Max. effective temp. for emergence (¡C).
TMNFTB,0,1,ST,CF,Reduction factor of gross assimilation rate as function of low min. temperature (¡C;-).
TMPFTB,0,1,ST,CF,Reduction factor of AMAX as function of average temperature (¡C).
TSUMEM,0,170,R,CF,Thermal time from sowing to emergence (¡C.d).
TSUM1,150,1050,R,CF,Thermal time from emergence to anthesis (¡C.d).
TSUM2,600,1550,R,CF,Thermal time from anthesis to maturity (¡C.d).
WAV,0,45,R,SD,Initial amount of available water in total rootable soil (moisture content above wilting point) (cm).
YZERO,0,400,R,CF,Max. amount of vegetative organs at zero yield (kg/ha) (to calculate nutrient uptake).
ZTI,0,999,R,SD,Initial depth of groundwater table (cm).
ISDAY,1,366,I,TD,Start day simulation water balance.
